country,year,value,variable,GCM,SRES,iso
Gabon,2013,1.059873065,HDD,CCSM3x,A2,gab
Ecuador,2013,1134.034869,HDD,CCSM3x,A2,ecu
Guinea,2013,0.067417186,HDD,CCSM3x,A2,gin
Ghana,2013,0.589769226,HDD,CCSM3x,A2,gha
Romania,2013,5489.369294,HDD,CCSM3x,A2,rom
Laos,2013,132.2171609,HDD,CCSM3x,A2,lao
Uganda,2013,43.99790373,HDD,CCSM3x,A2,uga
Guyana,2013,0.289045108,HDD,CCSM3x,A2,guy
Belarus,2013,7147.578394,HDD,CCSM3x,A2,blr
Senegal,2013,0.100655711,HDD,CCSM3x,A2,sen
Kyrgyzstan,2013,8489.869422,HDD,CCSM3x,A2,kgz
Syria,2013,2374.916066,HDD,CCSM3x,A2,syr
Cambodia,2013,0.397940149,HDD,CCSM3x,A2,khm
Uruguay,2013,1630.036579,HDD,CCSM3x,A2,ury
Greece,2013,3015.338891,HDD,CCSM3x,A2,grc
Tunisia,2013,1544.545463,HDD,CCSM3x,A2,tun
Suriname,2013,0.011015301,HDD,CCSM3x,A2,sur
Nepal,2013,1645.364775,HDD,CCSM3x,A2,npl
Bangladesh,2013,39.1996545,HDD,CCSM3x,A2,bgd
Tajikistan,2013,5375.758705,HDD,CCSM3x,A2,tjk
Cuba,2013,9.365674013,HDD,CCSM3x,A2,cub
North Korea,2013,6808.372278,HDD,CCSM3x,A2,prk
Eritrea,2013,69.90961006,HDD,CCSM3x,A2,eri
Nicaragua,2013,1.889505,HDD,CCSM3x,A2,nic
Honduras,2013,16.59326323,HDD,CCSM3x,A2,hnd
Benin,2013,0.041799755,HDD,CCSM3x,A2,ben
South Korea,2013,4768.909146,HDD,CCSM3x,A2,kor
Bulgaria,2013,5483.878011,HDD,CCSM3x,A2,bgr
Guatemala,2013,257.0303777,HDD,CCSM3x,A2,gtm
Iceland,2013,8546.725598,HDD,CCSM3x,A2,isl
Serbia and Montenegro,2013,5068.247465,HDD,CCSM3x,A2,mne
Malawi,2013,107.8858032,HDD,CCSM3x,A2,mwi
Liberia,2013,0.356681801,HDD,CCSM3x,A2,lbr
Portugal,2013,2086.179444,HDD,CCSM3x,A2,prt
Hungary,2013,5270.268638,HDD,CCSM3x,A2,hun
Jordan,2013,1730.18315,HDD,CCSM3x,A2,jor
Azerbaijan,2013,4479.279451,HDD,CCSM3x,A2,aze
Panama,2013,0.600669529,HDD,CCSM3x,A2,pan
French Guiana,2013,0.009076213,HDD,CCSM3x,A2,guf
Austria,2013,6152.468306,HDD,CCSM3x,A2,aut
United Arab Emirates,2013,124.0236005,HDD,CCSM3x,A2,are
Czech Republic,2013,6179.127223,HDD,CCSM3x,A2,cze
Ireland,2013,5315.469971,HDD,CCSM3x,A2,irl
Sierra Leone,2013,0.245424973,HDD,CCSM3x,A2,sle
Sri Lanka,2013,0.12194227,HDD,CCSM3x,A2,lka
Georgia,2013,5591.20166,HDD,CCSM3x,A2,geo
Latvia,2013,7211.581795,HDD,CCSM3x,A2,lva
Lithuania,2013,7040.472869,HDD,CCSM3x,A2,ltu
Croatia,2013,4739.127501,HDD,CCSM3x,A2,hrv
Togo,2013,0.182751778,HDD,CCSM3x,A2,tgo
Costa Rica,2013,26.33053366,HDD,CCSM3x,A2,cri
